stock_id,name,per_latest,per_120d_high,per_120d_low,per_latest_is_prev,valuation_updated_at,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2880,華南金,19.81,21.45,14.3,False,2026-09-25 14:40:33,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:34
2881,富邦金,14.02,19.46,11.19,False,2026-09-25 14:40:34,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:34
2882,國泰金,13.03,17.53,10.88,False,2026-09-25 14:40:34,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:35
2883,凱基金,13.62,18.12,11.24,False,2026-09-25 14:40:35,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:36
2884,玉山金,18.92,19.63,13.95,False,2026-09-25 14:40:36,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:36
2885,元大金,16.21,22.0,14.61,False,2026-09-25 14:40:36,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:37
2886,兆豐金,19.3,21.59,16.02,False,2026-09-25 14:40:37,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:37
2887,台新新光金,15.74,18.5,12.06,False,2026-09-25 14:40:37,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:38
2890,永豐金,17.04,20.05,14.11,False,2026-09-25 14:40:38,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:38
2891,中信金,16.39,17.45,13.08,False,2026-09-25 14:40:38,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:39
2892,第一金,18.46,19.04,13.97,False,2026-09-25 14:40:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:39
2912,統一超,19.14,22.42,18.82,False,2026-09-25 14:40:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:40
3008,大立光,33.21,41.54,13.54,False,2026-09-25 14:40:40,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:40
3013,晟銘電,16.19,30.02,15.61,False,2026-09-25 14:40:40,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:41
3017,奇鋐,47.39,60.2,34.42,False,2026-09-25 14:40:41,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:41
3034,聯詠,18.95,23.24,14.31,False,2026-09-25 14:40:41,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:42
3035,智原,81.3,123.94,49.82,False,2026-09-25 14:40:42,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:42
3036,文曄,10.63,29.34,9.6,False,2026-09-25 14:40:42,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:43
3037,欣興,78.89,194.21,45.81,False,2026-09-25 14:40:43,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:43
3044,健鼎,23.05,27.84,16.5,False,2026-09-25 14:40:43,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:43
3045,台灣大,23.16,24.44,20.42,False,2026-09-25 14:40:43,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:44
3081,聯亞,232.36,629.83,188.57,False,2026-09-25 14:40:44,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:44
3105,穩懋,58.99,154.25,41.72,False,2026-09-25 14:40:44,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:45
3131,弘塑,42.67,76.63,40.01,False,2026-09-25 14:40:45,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:40:45
