stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,short_margin_ratio_pct,short_margin_ratio_pct_t0,short_margin_ratio_pct_t1,short_margin_ratio_pct_t2,short_margin_ratio_score,margin_cost_line,margin_cost_line_t0,margin_cost_line_t1,margin_cost_line_t2,margin_cost_status,margin_purchase_change,margin_purchase_change_t0,margin_purchase_change_t1,margin_purchase_change_t2,margin_purchase_change_score,short_sale_change,short_sale_change_t0,short_sale_change_t1,short_sale_change_t2,short_sale_change_score,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,foreign_investor_net,foreign_investor_net_t0,foreign_investor_net_t1,foreign_investor_net_t2,foreign_investor_net_score,investment_trust_net,investment_trust_net_t0,investment_trust_net_t1,investment_trust_net_t2,investment_trust_net_score,dealer_net,dealer_net_t0,dealer_net_t1,dealer_net_t2,dealer_net_score,institutional_total_net,institutional_total_net_t0,institutional_total_net_t1,institutional_total_net_t2,institutional_total_net_score,main_force_net_5d,total_volume_5d,main_force_buy_rate_5d_pct,chip_concentration_avg_5d,chip_concentration_change_5d,broker_diff_avg_5d,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1590,亞德客-KY,3,15.0,2026-09-09,3,0.0,0.0,0.0,0.0,0,1443.57,1443.57,1443.57,1452.91,ok,11.0,11.0,6,-35,1,0.0,0.0,0,0,0,-3.49,-3.49,-11.17,-8.09,2026-09-09,2026-09-08,2026-09-07,0,-41,-41,-41,-44,-1,241,241,245,214,1,-20,-20,-34,-9,0,-4,-4,-25,2,0,0,0,-13,1,0,-24,-24,-72,-6,0,-134,2730,-4.91,-3.74,-3.02,159.2,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-09 13:04:00,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4771,6000,1229,2026-09-09 13:04:09
1605,華新,3,15.0,2026-09-10,3,2.71,2.71,2.91,2.88,0,37.42,37.42,37.41,37.39,ok,367,367,250,-223,1,-72,-72,19,10,0,-25.1,-25.1,11.79,27.29,2026-09-10,2026-09-09,2026-09-08,0,-2941,-2941,1637,4088,0.5,208,208,-55,-165,-0.5,-3793,-3793,2366,5933,-1,147,147,69,31,1,-269,-269,-119,111,-1,-3915,-3915,2316,6075,-1,848,70702,1.2,-1.43,-27.45,26.6,neutral,籌碼震盪，方向未定,2026-09-10 14:05:22,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:25
1727,中華化,3,15.0,2026-09-09,3,3.18,3.18,3.11,3.65,0,92.08,92.08,92.08,92.11,ok,-131.0,-131.0,46,346,-1,1.0,1.0,-36,-46,1,-13.8,-13.8,-12.79,-35.94,2026-09-09,2026-09-08,2026-09-07,-0.5,-209,-209,-195,-1530,-1,109,109,85,199,1,-209,-209,-256,-1677,1,0,0,0,0,0,33,33,-13,20,0,-176,-176,-269,-1657,1,-1884,16647,-11.32,-13.64,-5.45,107.4,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-09 13:04:05,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4771,6000,1229,2026-09-09 13:04:15
1802,台玻,3,15.0,2026-09-10,3,4.55,4.55,4.93,4.95,-0.5,60.79,60.79,60.8,60.81,ok,17,17,-396,429,0,-138,-138,-24,96,-1,0.62,0.62,14.77,-15.85,2026-09-10,2026-09-09,2026-09-08,-0.5,59,59,1756,-2809,0.5,65,65,-41,38,0.5,719,719,2412,-3080,0,35,35,49,44,0,36,36,124,-257,0,790,790,2585,-3293,0,3641,81381,4.47,3.69,7.05,12.2,neutral,籌碼震盪，方向未定,2026-09-10 14:05:22,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:05:40
1815,富喬,3,15.0,2026-09-10,3,1.02,1.02,0.59,0.0,0.5,118.79,118.79,118.26,123.11,ok,-1189,-1189,4098,-3286,0,182,182,264,0,0,-2.39,-2.39,-24.05,6.15,2026-09-10,2026-09-09,2026-09-08,-0.5,-1048,-1048,-16788,7119,-0.5,10,10,14,-3,0.5,-11540,-11540,-29929,726,0,11431,11431,10982,10541,1,24,24,-697,330,0,-85,-85,-19644,11597,0,14264,351484,4.06,1.88,1.9,3.0,neutral,籌碼震盪，方向未定,2026-09-10 14:05:22,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:28
2002,中鋼,3,15.0,2026-09-10,3,0.22,0.22,0.26,0.2,0,19.13,19.13,19.13,19.13,ok,-1717,-1717,-27,-49,0,-18,-18,22,-8,0,-7.38,-7.38,31.22,26.93,2026-09-10,2026-09-09,2026-09-08,0.5,-1605,-1605,10454,5620,0.5,84,84,-132,-200,-0.5,2006,2006,12051,5947,0,351,351,95,-654,1,-3572,-3572,2385,-148,0,-1215,-1215,14531,5145,0,16341,106498,15.34,13.28,-23.92,-57.6,neutral,籌碼震盪，方向未定,2026-09-10 14:05:40,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:05:50
2059,川湖,3,15.0,2026-09-10,3,0.44,0.44,0.58,0.84,-0.5,12231.85,12231.85,12227.45,12220.94,ok,-11,-11,-28,-1,0,-1,-1,-2,-5,1,-1.74,-1.74,-7.2,-12.53,2026-09-10,2026-09-09,2026-09-08,0,-5,-5,-34,-161,-1,167,167,289,201,1,14,14,42,18,0,-26,-26,-44,-199,1,-1,-1,-6,30,0,-13,-13,-8,-151,0,-149,2822,-5.28,-5.0,-1.53,166.2,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-10 14:05:50,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:00
2207,和泰車,3,15.0,2026-09-10,3,0.0,0.0,0.0,0.0,0,516.66,516.66,516.66,516.66,ok,-2,-2,-3,0,0,0,0,0,0,0,-1.47,-1.47,-7.3,2.5,2026-09-10,2026-09-09,2026-09-08,0,-2,-2,-10,5,-0.5,44,44,49,25,1,6,6,3,-18,1,11,11,1,9,0,-11,-11,-7,-9,0,6,6,-3,-18,1,150,1143,13.12,6.39,-34.72,-21.2,neutral,籌碼震盪，方向未定,2026-09-10 14:06:00,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:08
2233,宇隆,3,15.0,2026-09-10,3,1.0,1.0,1.2,2.32,-0.5,222.68,222.68,222.97,224.16,ok,-32,-32,-109,3,0,-7,-7,-40,10,0,-10.29,-10.29,10.75,-29.75,2026-09-10,2026-09-09,2026-09-08,-0.5,-35,-35,73,-166,-0.5,91,91,-16,201,0.5,-34,-34,200,-168,0,0,0,17,0,0,1,1,-11,10,0,-33,-33,206,-158,0,-83,2381,-3.49,-5.37,-14.2,77.8,neutral,籌碼震盪，方向未定,2026-09-10 14:06:09,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:17
2301,光寶科,3,15.0,2026-09-10,3,1.1,1.1,1.13,1.15,-0.5,292.51,292.51,292.57,292.57,ok,-239,-239,33,231,-1,-8,-8,-3,-47,0,-8.94,-8.94,-3.43,-16.41,2026-09-10,2026-09-09,2026-09-08,-0.5,-1780,-1780,-468,-3115,-1,50,50,39,64,1,-711,-711,1656,-2935,0,-929,-929,-965,233,0,-687,-687,29,-192,0,-2327,-2327,720,-2894,0,-10584,105105,-10.07,-10.72,-21.24,40.6,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-10 14:06:17,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:28
