stock_id,name,eps_Y,eps_Y_quarters,eps_ttm,eps_yoy,roe_last_year,roe_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_ttm,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,roe_status,roe_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1815,富喬,2.24,2,3.61,568.52,8.42,18.92,0.91,6.79,28.79,79.21,39.97,4.0,15.42,25.69,4.32,11.49,39.54,15.2,41.9,,36.52,69.21,26.06,5.38,5.76,2.68,,,False,False,False,False,False,False,False,2026-09-10 12:13:16,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:19
2002,中鋼,-0.02,2,-0.2,-100.0,-1.18,-0.37,27.95,-5.96,-6.7,12.97,7.95,4.62,7.27,4.13,4.91,7.2,3.15,5.5,5.87,,0.0,0.0,0.0,0.97,1.03,0.93,,,False,False,False,False,False,False,False,2026-09-10 12:13:19,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:24
2059,川湖,110.96,2,181.39,168.53,39.89,62.84,6.47,0.92,70.55,344.42,87.42,9.68,9.92,82.08,15.02,11.94,65.45,1.49,50.93,,69.46,83.69,38.78,35.57,40.97,13.3,,,False,False,False,False,False,False,False,2026-09-10 12:13:24,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:27
2207,和泰車,21.57,2,40.67,33.48,27.2,33.29,30.04,3.64,-0.39,17.89,,,,,,,9.49,2.12,2.37,,12.99,16.34,12.4,3.43,3.92,3.04,,,False,False,False,False,False,False,False,2026-09-10 13:31:15,incomplete,profit:incomplete(partial),ok,,ok,,ok,,incomplete,partial,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:31:22
2233,宇隆,3.4,2,6.79,-22.58,9.99,10.86,0.28,0.99,-5.12,21.27,31.47,3.88,-0.71,13.34,2.85,-0.21,12.38,-0.84,3.22,,24.15,60.85,23.71,2.39,5.75,2.35,,,False,False,False,False,False,False,False,2026-09-10 12:13:30,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:33
2301,光寶科,4.8,2,8.55,49.74,16.74,22.01,19.59,3.09,12.9,25.2,27.22,5.56,5.1,15.56,6.12,6.34,13.51,4.81,5.71,,34.04,37.13,26.84,6.89,7.52,4.76,,,False,False,False,False,False,False,False,2026-09-10 12:13:33,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:36
2303,聯電,4.68,2,6.68,110.73,10.96,21.33,25.04,5.04,9.16,30.71,32.48,3.29,3.76,21.75,3.28,3.34,61.43,35.03,46.37,,21.43,44.85,16.54,4.03,5.52,2.82,,,False,False,False,False,False,False,False,2026-09-10 12:13:37,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:40
2308,台達電,17.59,2,31.42,86.8,27.28,36.2,64.59,-3.71,9.54,34.95,35.64,-1.36,0.13,16.68,-1.15,1.63,14.83,-0.13,2.47,,53.31,92.92,47.58,14.81,21.85,13.22,,,False,False,False,False,False,False,False,2026-09-10 12:13:40,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:45
2313,華通,2.5,2,6.21,32.13,14.22,16.54,7.01,0.82,3.7,6.87,18.51,0.53,0.27,9.76,-0.16,-0.45,7.4,-0.29,2.83,,36.31,52.65,27.16,5.53,7.59,3.92,,,False,False,False,False,False,False,False,2026-09-10 12:13:46,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:50
2317,鴻海,7.83,2,15.21,16.02,12.58,14.65,921.77,-2.61,7.26,51.98,6.12,-0.06,-0.21,3.75,0.18,0.59,2.77,0.08,0.01,,16.55,21.95,16.02,1.85,2.43,1.79,,,False,False,False,False,False,False,False,2026-09-10 12:13:50,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:54
2324,仁寶,1.18,2,1.95,7.14,5.76,7.96,67.34,-16.87,-4.43,14.5,4.62,-0.64,-1.25,120.0,-11.0,-25.0,151.0,32.0,100.0,,19.42,35.38,19.35,1.19,1.57,0.92,,,False,False,False,False,False,False,False,2026-09-10 12:13:54,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:57
2327,國巨*,8.49,2,14.88,-61.44,14.35,18.97,16.33,1.25,8.46,51.8,38.5,0.4,2.94,26.43,1.24,4.94,21.27,0.21,5.98,,38.52,89.76,29.42,6.65,14.05,4.07,,,False,False,False,False,False,False,False,2026-09-10 12:13:57,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:04
2330,台積電,49.33,2,86.28,53.22,35.34,40.62,514.81,10.1,23.46,53.32,67.72,1.47,9.1,60.34,2.24,10.71,55.64,5.13,13.07,,28.4,34.87,27.24,9.88,11.05,9.47,,,False,False,False,False,False,False,False,2026-09-10 12:14:04,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:10
2337,旺宏,4.81,2,4.19,294.88,-7.36,16.01,8.15,5.44,30.21,218.53,64.42,23.62,48.77,46.89,28.43,62.76,40.45,23.45,59.21,,29.03,32.46,0.0,3.92,7.25,3.21,,,False,False,False,False,False,False,False,2026-09-10 12:14:11,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:14
2344,華邦電,7.65,2,9.06,1432.35,3.18,31.75,27.31,2.0,36.53,289.43,66.25,12.88,43.59,48.43,15.62,54.59,40.44,13.99,48.2,,19.79,65.88,18.03,4.9,8.56,4.13,,,False,False,False,False,False,False,False,2026-09-10 12:14:14,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:17
2345,智邦,34.7,2,63.65,105.12,56.05,65.7,40.87,3.55,42.8,59.42,19.7,0.15,1.77,15.0,0.67,1.61,11.56,-0.32,3.28,,30.87,54.32,30.71,15.91,24.87,15.83,,,False,False,False,False,False,False,False,2026-09-10 12:14:18,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:26
2347,聯強,4.11,2,7.31,46.2,11.57,17.08,74.22,2.59,9.43,121.9,3.4,-0.9,-0.91,2.38,-0.29,0.92,2.02,-0.43,0.5,,12.15,16.89,11.76,1.71,2.06,1.66,,,False,False,False,False,False,False,False,2026-09-10 12:14:26,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:30
2353,宏碁,0.95,2,1.68,12.0,7.58,10.84,30.18,12.18,15.34,38.41,11.37,0.21,1.26,2.09,0.98,0.99,3.28,1.43,1.3,,18.75,32.88,18.01,1.23,1.79,1.12,,,False,False,False,False,False,False,False,2026-09-10 12:14:30,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:33
2356,英業達,1.77,2,3.1,34.78,12.6,16.5,83.27,-7.68,0.56,35.83,4.23,-0.85,-0.86,176.0,-4.0,-19.0,145.0,23.0,27.0,,20.19,32.47,18.52,2.89,4.17,2.32,,,False,False,False,False,False,False,False,2026-09-10 12:14:33,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:37
2357,華碩,38.83,2,68.4,38.29,17.93,20.38,94.96,12.87,37.43,51.17,17.17,2.31,3.36,8.14,2.43,3.97,7.89,2.54,2.33,,14.46,16.64,10.49,2.44,2.53,1.64,,,False,False,False,False,False,False,False,2026-09-10 12:14:37,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:40
2360,致茂,21.27,2,39.29,137.55,42.01,59.48,5.63,3.65,23.8,156.3,60.5,-2.1,-4.94,38.74,-1.71,4.7,38.65,5.36,7.55,,55.61,88.41,50.0,27.99,40.09,25.17,,,False,False,False,False,False,False,False,2026-09-10 12:14:40,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:44
2368,金像電,16.15,2,28.5,119.23,35.06,45.95,10.38,3.69,18.36,76.39,34.65,-0.16,5.09,26.43,-0.42,5.73,19.7,1.66,7.47,,37.51,76.28,32.55,12.82,21.92,10.57,,,False,False,False,False,False,False,False,2026-09-10 12:14:44,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:47
2376,技嘉,17.72,2,26.71,62.67,23.56,33.13,47.4,7.21,-3.37,98.43,9.62,-2.39,0.2,5.63,-1.43,0.45,5.18,-0.19,1.89,,13.15,18.64,12.71,3.54,4.14,3.13,,,False,False,False,False,False,False,False,2026-09-10 12:14:47,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:50
2377,微星,7.59,2,11.53,111.17,10.7,18.08,17.69,-8.52,12.0,-6.06,15.97,0.97,4.86,6.57,-0.32,3.2,6.01,-0.06,3.82,,12.92,16.2,10.97,2.17,2.46,1.55,,,False,False,False,False,False,False,False,2026-09-10 12:14:50,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:14:53
