stock_id,name,新聞
2408,南亞科,0729：個股：中環(2323)7/27-7/28取得南亞科(2408)股票880張，每股均價392.59元 - 富聯網；0729：綠油油！台股開盤暴跌逾千點失守4萬1 南亞科、華邦電連兩天跌停 - 台視新聞網；0729：焦點股》南亞科：大摩力挺 不敵賣壓空襲 - 自由財經；0729：記憶體又躺平…
2449,京元電子,0729：【即時新聞】京元電(2449)長線看旺，這「5檔封測概念股」卻遭大戶重手倒貨！ - CMoney投資網誌；0729：【即時新聞】京元電(2449)長線看旺，這「5檔封測概念股」卻遭大戶重手倒貨！ - CMoney；0729：京元電子(2449)獲利小修正，但真正被重估的是AI測試產能稀缺…
2454,聯發科,0729：《半導體》注意股：聯發科 近5日跌9.67% - 富聯網；0729：最慘不是聯發科！「這1檔」6天重挫45%、穎崴價差720元 南電、台達電...32檔注意股曝光 - FTNN 新聞；0729：台股一度再崩逾千點失守4.1K！台積電、聯發科領跌 鴻海領金控股抗空 - UDN；0729：台…
2455,全新,0729：討論牆 | 盤中速報 - 全新(2455)急拉4.08%報331.5元，成交818張 - LINE TODAY；0727：2455 全新 - 全新光通訊動能勁，基板供應改善助攻下半年營運- 股市爆料同學會 - CMoney；0727：熱門股》漲價題材加持 全新帶量強攻 - 自由時報；07…
2467,志聖,0727：志聖(2467) 個股概覽 | 個股 - 股市 - CMoney；0727：【12:49 即時新聞】志聖(2467)股價溫和上漲至526元，先進封裝訂單與營收爆發支撐基本面＋短線技術結構仍偏空、法人與主力賣壓待化解 - CMoney投資網誌；0727：志聖(2467)做什麼的？股價35→…
2472,立隆電,"0729：討論牆 | 盤中速報 - 立隆電(2472)股價殺至跌停，跌停價211.5元，成交4,149張 - LINE TODAY；0728：立隆電(2472) 個股概覽 | 個股 - 股市 - CMoney；0723：討論牆 | 盤中速報 - 立隆電(2472)急拉3.2%報273.5元，成交7…"
2478,大毅,0727：2478 大毅- 浮躁的籌碼正在被「時間」沉澱 - 股市爆料同學會 - CMoney；0727：討論牆 | 盤中速報 - 大毅(2478)急拉3.08%報133.0元，成交309張 - LINE TODAY；0725：討論牆 | 盤中速報 - 大毅(2478)大跌7.33%，報139元 …
2481,強茂,0728：強茂集團發布《2025 ESG永續報告書》 首度以集團架構揭露永續成果 - news.cnyes.com；0728：2481 強茂 - 扯斃了 被當垃圾慢慢倒 倒到快跌停 - 股市爆料同學會 - CMoney；0727：《台北股市》投信27日賣超股：聯電、強茂、華通 - 富聯網；0726…
2484,希華,0729：《電零組》注意股：希華 近5日跌7.97% - 富聯網；0728：希華(2484) 個股概覽 | 個股 - 股市 - CMoney；0728：2484 希華- 希華最近會被處置嗎！？ - 股市爆料同學會 - CMoney；0728：2484 希華- 希華法說會解析影片- 股市爆料同學會 …
2486,一詮,0728：2486 一詮 - 買入國巨台北車站相聚，買入一詮公園帳蓬睡袋帶齊全 - 股市爆料同學會 - CMoney；0728：2486 一詮- 【盤前觀察】巨震後的籌碼沉澱：美股結構與資券博弈，保持定力- 股市爆料同學會 - CMoney；0728：光電股掃到颱風尾！「這檔」卻逆勢噴出紅燈、友達…
2492,華新科,0729：台股跳水破4萬1大洗牌！記憶體爆逃命潮「33檔慘跌停」 旺宏、華邦電挨刀華新科、禾伸堂也倒一片 - FTNN 新聞；0728：國巨挫跌停失守600元寫近2月新低 華新科禾伸堂全亮綠燈 - Yahoo股市；0728：被動元件族群重挫 華新科跳空跌停 投資人看法兩極 - 自由財經；0728：…
